"user.index","sugg.select.utime","sugg.select.slot","sugg.select.update","sugg.decision.utime","sugg.decision.slot","send","jbsteps10","jbsteps30","jbsteps40","jbsteps60","jbsteps90","jbsteps120"
1,2015-07-22 16:30:00,2,2015-07-22,2015-07-22 16:31:53,2,TRUE,0,1311,1413,1413,1617,2035
1,2015-07-22 18:30:00,3,2015-07-22,2015-07-22 18:32:10,3,TRUE,414,414,414,414,734,1085
1,2015-07-22 21:30:00,4,2015-07-22,2015-07-22 21:31:48,4,FALSE,140,341,455,473,1735,4648
1,2015-07-22 23:30:00,5,2015-07-22,2015-07-22 23:31:50,5,TRUE,229,369,369,715,1082,1480
1,2015-07-23 09:30:00,1,2015-07-23,2015-07-23 09:31:31,1,FALSE,0,0,0,0,0,0
1,2015-07-23 16:30:00,2,2015-07-22,2015-07-23 16:33:51,2,TRUE,241,893,1243,1318,1624,2283
1,2015-07-23 18:30:00,3,2015-07-22,2015-07-23 18:31:07,3,TRUE,183,589,797,872,2755,5757
1,2015-07-23 21:30:00,4,2015-07-22,2015-07-23 21:31:16,4,TRUE,655,899,1122,1297,1322,1365
1,2015-07-23 23:30:00,5,2015-07-22,2015-07-23 23:32:54,5,FALSE,0,386,530,743,765,783
1,2015-07-24 09:30:00,1,2015-07-23,2015-07-24 09:31:49,1,FALSE,0,0,0,0,79,79
1,2015-07-24 16:30:00,2,2015-07-22,2015-07-24 16:31:31,2,TRUE,71,279,611,1119,1608,1814
1,2015-07-24 18:30:00,3,2015-07-22,2015-07-24 18:31:58,3,TRUE,233,415,481,707,1394,4196
1,2015-07-24 21:30:00,4,2015-07-22,2015-07-24 21:31:41,4,TRUE,1136,1310,1310,1404,2184,3510
1,2015-07-24 23:30:00,5,2015-07-22,2015-07-24 23:31:40,5,FALSE,0,447,554,663,2256,2539
1,2015-07-25 09:30:00,1,2015-07-23,2015-07-25 09:35:29,1,TRUE,0,0,0,0,0,76
